rainfall,water_level,elevation,drainage,humidity,soil_type,population_density,distance_to_river,historical_flood_freq,drainage_capacity,flood
39.6,1.2,1,2,48.8,2,3,0.9,1,614,0
112.6,2.3,2,3,78.7,1,3,2.3,0,363,0
226.3,4.2,1,2,90.3,1,2,2.3,0,301,1
148.4,2.2,3,1,78.4,3,2,3.0,2,572,1
99.8,2.4,1,1,66.1,1,3,1.1,3,914,1
91.5,1.4,1,2,54.3,1,2,2.3,3,621,1
88.3,1.9,1,1,51.7,1,2,0.6,2,324,1
70.6,1.2,1,1,56.8,1,1,0.6,2,539,0
163.8,3.3,2,2,82.3,1,2,2.6,2,912,1
125.9,2.7,2,2,69.1,1,3,3.5,2,309,1
148.7,2.9,2,2,73.1,2,1,0.4,0,647,1
246.1,4.7,2,1,92.7,1,1,0.4,3,296,1
82.6,1.5,3,3,51.6,2,2,2.5,2,399,0
24.5,0.3,2,1,40.6,1,3,0.9,0,304,0
36.8,0.7,1,1,40.0,1,2,1.5,0,576,0
124.2,2.1,2,2,61.8,1,2,1.5,0,250,0
146.1,3.5,1,2,69.5,3,2,0.6,2,274,1
51.4,0.6,1,3,55.2,2,2,0.1,3,260,0
36.7,1.0,2,2,45.8,2,1,5.8,1,292,0
125.2,2.5,1,3,68.8,1,1,3.8,1,684,1
77.6,1.5,1,3,57.7,3,2,3.5,4,227,0
246.0,5.0,1,2,96.6,1,2,2.4,1,231,1
176.2,3.3,1,2,73.6,1,3,3.6,0,888,1
175.6,3.0,3,2,83.9,2,2,8.2,1,532,0
43.9,0.9,1,3,42.6,1,1,3.3,3,551,0
40.7,0.7,1,2,46.7,3,2,0.9,2,317,0
183.6,3.5,1,1,80.3,1,2,2.5,1,597,1
68.2,1.5,1,2,58.8,3,1,1.8,5,322,0
56.9,0.7,3,1,59.4,2,3,2.4,3,330,0
36.1,1.1,1,1,51.8,2,3,2.2,0,667,0
50.3,0.8,2,1,58.1,1,1,5.9,3,919,0
41.5,0.9,2,2,45.0,1,2,3.2,0,660,0
21.4,0.6,3,3,50.7,3,1,0.6,2,305,0
92.6,1.8,2,1,65.5,1,2,0.2,1,920,0
187.3,3.4,2,1,69.2,2,2,1.7,2,319,1
172.3,3.0,1,1,76.8,3,2,0.1,1,914,1
123.2,2.1,1,2,70.1,1,3,1.1,4,310,1
66.0,1.7,1,1,51.9,2,1,1.4,1,391,1
68.0,0.9,3,1,49.5,2,2,1.4,2,635,0
224.7,3.8,1,1,100.0,1,3,11.6,1,878,1
63.7,0.9,1,2,54.6,1,2,1.1,4,1000,0
20.5,0.4,1,1,45.2,2,1,0.9,3,581,0
209.1,3.3,1,2,79.5,1,1,0.4,1,600,1
73.9,0.9,1,1,53.2,2,2,2.1,4,558,1
129.4,2.3,3,2,64.0,1,3,0.5,1,636,0
27.4,0.1,1,1,51.4,3,3,2.9,2,985,0
183.3,2.9,2,2,82.8,1,3,0.5,3,225,1
69.3,0.8,2,1,52.4,2,3,2.6,0,286,0
174.8,2.9,1,2,81.3,2,2,5.3,5,956,1
233.5,4.5,1,3,90.1,1,3,0.1,1,847,1
171.6,3.5,1,3,78.9,1,3,1.6,0,329,1
46.3,1.5,1,2,51.3,2,2,1.9,4,235,0
210.7,4.5,2,2,88.5,3,2,4.7,3,920,1
8.3,0.4,1,3,43.3,1,2,1.9,0,604,0
134.5,2.8,1,2,71.7,2,1,2.5,0,766,1
75.5,1.4,2,1,62.9,1,1,4.7,3,337,1
188.8,3.6,3,3,84.7,1,3,2.5,0,791,1
33.7,1.3,2,1,45.7,2,3,1.3,4,296,0
95.7,1.9,2,1,60.6,3,1,0.3,3,341,0
57.8,1.5,2,1,58.9,1,2,3.9,1,279,0
28.1,0.2,1,1,46.7,3,3,6.1,1,877,0
109.8,1.8,2,2,62.3,1,2,10.5,2,580,0
162.2,3.1,1,1,72.5,2,2,7.8,1,927,1
2.2,0.1,2,1,41.8,2,3,4.8,3,237,0
109.8,1.8,2,1,59.9,2,3,3.1,5,872,0
197.4,4.4,1,2,89.9,2,3,4.6,2,952,1
76.4,1.4,2,2,51.6,1,2,1.7,1,876,0
86.8,1.4,3,1,66.5,2,1,2.7,1,873,0
89.5,1.7,1,1,58.3,2,3,1.3,2,231,1
219.1,4.0,2,1,82.8,1,1,1.2,2,632,1
103.1,1.9,1,3,63.6,3,3,4.2,2,921,0
47.7,0.3,2,2,45.7,1,1,1.8,0,949,0
67.5,1.7,1,2,55.0,2,2,0.7,4,594,0
62.5,1.6,2,1,50.9,1,2,0.7,1,316,0
150.4,3.2,3,2,77.8,1,1,5.9,3,615,1
41.8,0.9,3,2,49.9,1,3,3.4,3,529,0
152.1,3.0,2,1,67.5,2,1,2.4,2,418,1
7.2,0.1,1,1,40.0,2,3,1.5,1,949,0
149.7,3.0,3,1,76.5,1,3,1.7,2,304,1
7.0,0.2,1,3,48.0,1,2,0.2,0,289,0
146.2,2.5,3,3,71.9,1,3,1.8,3,666,0
66.9,1.5,1,2,49.5,2,2,4.8,0,605,0
182.4,3.6,1,2,85.4,2,3,1.5,1,346,1
4.6,0.1,2,1,44.5,1,2,1.5,0,271,0
50.2,1.1,1,2,57.6,1,2,0.1,3,256,0
91.1,1.3,1,2,61.5,2,2,1.8,2,292,0
27.8,0.9,1,1,43.5,1,2,0.1,2,301,0
248.4,4.2,1,3,97.2,1,3,2.5,2,321,1
212.1,3.6,1,1,88.3,1,1,2.1,3,373,1
213.1,3.9,1,1,84.0,2,2,5.5,0,656,1
220.2,4.4,1,2,89.4,2,2,2.6,2,966,1
182.5,3.7,1,2,79.2,2,3,1.2,2,563,1
16.7,0.3,2,2,47.4,1,1,2.2,0,585,0
4.9,0.4,1,1,43.5,2,2,3.6,1,348,0
106.3,1.3,3,3,58.1,1,1,0.3,1,961,0
37.9,0.4,3,2,42.6,3,2,2.9,0,637,0
115.3,1.9,1,2,64.9,2,3,7.5,1,572,1
220.6,4.4,2,3,88.7,2,3,1.1,0,248,1
247.6,4.7,2,2,98.3,1,3,3.0,2,312,1
168.5,3.1,3,1,79.6,1,2,5.2,1,555,1
206.3,3.8,2,2,92.7,2,3,2.2,1,623,1
56.6,1.6,1,1,50.1,2,2,3.8,4,963,0
35.9,0.6,2,1,45.3,1,3,1.1,2,309,0
43.6,0.3,2,1,44.8,3,2,1.1,1,235,1
127.4,2.7,2,3,71.8,3,2,3.3,2,575,0
111.1,2.1,1,1,64.6,2,1,3.7,1,943,1
45.2,1.2,3,2,40.7,3,2,8.3,0,324,0
104.9,1.9,3,1,64.1,1,1,0.8,0,628,0
30.3,0.3,1,2,48.0,1,3,1.9,5,388,0
29.6,0.7,1,2,45.8,1,2,0.9,3,617,0
46.5,0.8,1,2,51.7,2,3,0.3,3,916,0
54.3,1.1,2,1,45.8,1,1,1.5,5,943,0
47.7,1.4,2,2,58.7,3,1,1.4,4,241,0
133.6,2.0,2,3,71.3,1,3,0.9,3,278,1
106.1,2.0,1,2,54.5,1,2,1.1,2,563,1
93.1,1.4,2,2,60.5,3,2,1.3,1,333,0
49.4,0.1,1,3,52.9,1,3,13.5,0,554,0
80.5,1.4,1,1,52.1,1,2,4.6,2,628,1
135.3,2.5,2,2,72.4,2,1,0.2,2,289,1
207.9,4.0,3,3,94.1,1,3,6.2,5,882,1
95.4,1.7,3,1,57.8,1,1,3.0,1,346,0
69.6,0.7,3,2,57.5,1,3,6.6,2,833,0
61.1,0.8,1,1,54.5,2,1,1.3,2,876,0
144.2,3.1,1,2,76.6,3,2,1.9,0,746,1
58.3,0.8,2,2,52.3,3,1,6.8,2,393,0
54.8,1.6,3,1,46.7,1,3,1.0,2,809,0
53.7,1.3,1,2,56.3,1,1,7.4,2,875,0
1.2,0.1,1,1,40.0,2,3,5.3,2,303,0
83.5,1.3,1,1,67.4,3,2,11.8,0,229,0
208.8,4.2,2,1,88.7,1,1,1.2,2,401,1
7.2,0.1,1,3,40.0,1,3,0.8,2,901,0
75.5,0.8,1,1,62.2,2,2,1.2,2,891,0
178.8,3.4,1,3,79.3,3,1,9.3,2,919,1
20.3,0.5,1,2,43.4,1,1,1.2,0,918,0
81.8,1.9,3,1,54.6,1,2,2.5,0,557,0
215.2,4.0,1,2,78.0,1,1,1.6,1,366,1
103.2,1.7,2,2,65.7,1,1,1.5,1,308,1
9.4,0.6,2,2,40.0,2,2,0.6,2,365,0
42.9,1.3,3,1,45.5,2,2,2.3,4,571,0
35.1,0.7,1,1,49.9,2,2,5.7,0,810,0
0.6,0.1,3,1,40.0,1,1,0.2,0,972,0
48.6,0.4,2,1,51.5,1,3,6.6,1,337,0
131.6,2.2,3,1,62.9,1,3,3.3,1,658,0
232.9,4.5,3,1,89.5,1,2,2.9,2,661,1
65.2,1.0,1,1,55.2,2,1,2.9,3,601,1
240.2,3.9,1,1,88.1,1,3,1.1,3,582,1
98.8,3.0,1,1,70.2,1,2,1.6,0,295,1
67.2,0.7,2,1,51.6,1,2,4.8,4,928,0
37.7,1.5,1,3,55.2,2,2,1.1,0,614,0
46.6,0.7,1,1,49.4,2,3,1.9,2,809,1
242.8,4.4,1,2,85.6,3,1,0.1,2,294,1
209.5,3.6,1,1,80.4,1,3,4.0,2,371,1
110.3,2.3,1,3,65.1,2,3,1.6,1,300,1
56.4,0.5,1,1,57.6,1,2,2.2,1,1000,0
22.0,0.1,1,3,53.7,1,3,0.4,2,852,0
60.9,1.7,1,2,54.0,3,1,14.4,0,617,0
202.1,3.4,1,1,78.6,1,2,1.1,0,851,1
212.2,4.1,1,3,88.1,2,2,3.0,2,557,1
139.6,2.2,3,2,66.6,1,2,2.6,2,258,1
222.2,4.3,2,1,90.8,2,2,4.6,2,710,1
21.8,1.0,1,2,40.1,2,2,1.0,0,887,0
84.6,1.4,1,3,48.2,3,1,4.2,3,265,0
210.0,3.1,2,2,92.8,3,2,1.4,0,300,1
10.6,0.8,3,1,41.2,2,2,1.6,4,589,0
245.2,4.8,3,2,94.2,1,3,3.4,1,341,1
18.7,0.2,2,2,49.1,2,1,4.6,2,798,0
161.5,2.9,1,3,84.9,2,2,3.3,4,552,1
180.1,2.9,1,2,83.2,1,1,6.9,1,342,1
74.8,1.9,1,1,57.0,2,1,1.0,0,276,1
216.6,3.8,3,3,90.0,3,2,6.9,1,862,1
155.0,2.3,2,1,72.6,2,1,0.4,1,560,1
131.9,2.5,2,1,69.2,1,2,3.2,2,636,1
137.3,2.2,1,2,70.9,3,2,2.4,1,334,1
114.5,1.7,2,2,61.3,1,3,2.0,4,948,1
19.1,0.2,1,1,44.3,1,3,1.1,2,542,0
56.4,1.1,1,2,54.2,2,2,2.1,0,539,0
63.8,0.7,1,1,56.6,1,3,0.5,3,957,0
204.5,4.2,2,1,87.2,2,1,1.4,1,310,1
22.2,0.6,1,3,40.0,1,2,0.3,1,570,0
212.1,3.7,3,1,92.8,1,3,2.5,1,292,1
58.6,0.7,1,1,58.6,1,1,0.3,2,538,0
80.1,1.4,2,1,57.1,3,1,0.5,1,274,0
4.5,0.4,2,3,43.3,2,1,0.3,2,908,0
104.7,2.2,1,1,62.0,1,2,1.4,0,318,1
84.7,1.9,2,1,62.4,1,2,5.5,5,596,0
104.0,1.7,2,2,58.8,1,2,7.1,3,891,0
56.5,0.1,2,2,59.1,2,2,0.2,1,937,0
17.1,0.7,3,1,47.3,1,2,3.0,3,595,0
239.0,4.3,2,2,96.2,2,3,3.5,2,578,1
116.9,2.4,1,1,65.2,2,1,2.3,0,262,1
220.2,4.6,2,3,81.4,2,3,3.3,0,212,1
46.3,1.7,1,1,54.6,2,2,0.8,0,632,0
238.6,4.1,1,1,85.6,2,3,2.0,3,373,1
31.1,0.6,1,1,51.3,1,3,1.5,2,259,0
37.0,1.2,2,1,44.3,2,2,0.3,1,236,0
31.5,0.3,2,2,40.0,2,1,2.9,0,569,0
5.1,0.1,1,1,41.1,1,2,2.1,2,615,0
175.9,3.0,2,1,84.6,3,3,1.0,2,275,1
77.8,1.4,3,2,52.3,1,2,1.9,3,274,0
164.1,2.9,1,2,84.1,1,1,4.5,5,596,1
119.1,2.0,1,1,69.5,1,1,4.9,1,605,1
80.9,1.1,2,1,58.6,3,3,3.1,1,618,0
87.1,1.9,1,1,57.0,2,1,1.9,1,885,1
45.0,1.3,2,1,48.1,2,1,2.6,3,284,0
23.1,0.9,1,1,47.2,1,2,1.5,0,204,0
104.3,1.7,1,2,67.2,2,3,0.4,1,347,0
170.8,3.4,2,3,74.6,1,2,1.5,3,613,1
35.5,0.7,2,1,43.8,3,2,2.3,0,676,0
5.5,0.1,2,1,40.1,1,2,2.7,1,326,0
134.4,2.7,3,1,76.5,1,1,8.2,2,596,1
2.8,0.1,2,1,40.0,1,3,4.5,0,526,0
13.7,0.1,2,1,48.7,3,2,0.5,1,818,0
2.7,0.1,1,3,40.8,2,2,0.6,2,652,0
9.4,0.1,2,2,40.0,2,3,0.3,1,628,0
94.8,1.8,1,3,58.5,2,3,4.0,0,673,0
44.3,1.4,2,3,52.8,3,2,3.7,4,947,0
187.0,3.3,1,2,90.1,3,1,12.9,0,881,1
185.9,3.0,2,2,74.3,2,3,2.2,3,485,1
150.1,3.3,1,1,58.9,1,2,5.3,0,630,1
115.2,1.9,2,2,58.8,1,3,2.6,2,549,1
124.3,1.6,3,3,73.0,3,3,6.2,0,591,0
51.3,1.0,1,1,42.3,2,1,3.8,0,621,1
195.7,3.4,3,3,90.5,1,3,3.1,0,268,1
28.5,1.3,1,1,52.3,2,2,2.5,2,859,1
36.5,0.8,2,3,49.0,3,2,3.9,2,585,0
53.9,0.9,3,3,48.7,1,1,1.6,0,798,0
210.4,3.5,1,2,86.6,2,3,0.3,5,548,1
97.5,1.9,3,2,64.5,3,2,0.1,1,548,1
32.2,1.1,1,2,49.4,2,2,2.0,2,288,0
25.6,0.6,1,3,54.3,1,3,2.7,1,553,0
14.9,0.1,3,3,42.0,3,2,0.2,2,574,0
104.5,2.1,1,2,56.5,3,2,1.0,3,278,1
246.2,4.5,3,2,86.8,3,3,1.2,2,1000,1
133.9,2.6,3,2,61.1,2,3,2.5,1,338,1
54.0,0.9,1,3,52.9,1,3,1.0,1,594,0
55.3,0.9,2,2,51.0,3,3,0.3,3,322,0
189.8,3.3,1,3,81.9,1,2,0.5,0,946,1
3.5,0.4,1,2,40.0,3,2,0.6,1,314,0
35.4,0.5,1,1,42.2,3,2,5.5,0,548,0
19.2,0.2,1,1,47.3,2,2,1.0,1,293,0
6.5,0.1,1,1,40.0,3,2,3.8,0,551,0
21.2,0.5,1,1,40.7,2,3,2.5,4,884,0
233.6,4.4,3,1,95.3,1,1,11.3,3,292,1
31.2,0.4,2,2,42.4,2,1,1.0,2,653,0
80.5,1.2,2,1,59.7,1,1,0.5,1,260,0
131.9,3.1,2,1,65.0,2,1,0.2,2,556,1
80.8,0.8,2,2,55.5,1,2,0.8,2,564,0
124.4,2.4,1,3,70.2,2,1,3.5,2,570,0
151.5,3.2,2,2,66.9,3,1,0.3,0,584,1
97.3,0.6,3,3,65.1,3,1,0.8,5,616,0
20.3,0.6,1,2,44.7,1,3,5.8,2,261,0
156.0,2.8,2,1,80.6,2,3,2.6,4,606,1
234.1,4.3,2,2,92.5,2,1,0.2,0,306,1
200.2,3.5,3,2,78.7,3,3,0.1,1,928,1
161.4,3.3,2,1,84.1,2,2,0.2,0,889,1
90.5,1.8,1,1,55.0,2,1,8.5,3,342,1
1.5,0.1,1,2,40.0,3,2,5.7,1,318,0
232.2,3.9,1,1,95.9,1,1,5.6,3,316,1
24.6,1.1,2,2,40.0,3,3,7.7,3,872,0
182.5,3.3,1,1,87.3,3,1,2.1,2,914,1
100.1,2.6,3,2,56.3,3,3,0.9,2,318,0
63.1,1.8,1,2,51.6,1,1,1.5,3,570,1
123.8,1.6,1,1,68.7,2,2,3.8,2,360,1
5.6,0.1,1,1,41.0,3,3,6.3,1,731,0
44.1,0.4,2,2,53.6,1,1,1.7,2,567,0
19.2,0.3,1,3,40.0,2,2,2.3,4,576,0
162.4,3.0,1,3,79.4,1,2,8.1,1,878,1
96.4,1.8,1,2,65.2,1,2,0.3,4,535,1
31.7,0.9,1,2,52.1,2,1,5.9,0,256,0
181.6,3.8,1,1,72.0,2,1,0.5,1,643,1
92.6,2.0,2,1,53.0,1,2,2.0,0,596,0
51.8,0.7,2,1,49.7,2,2,0.7,0,996,0
141.8,2.3,1,2,64.4,2,2,2.8,3,286,1
31.3,0.6,2,1,40.0,2,1,2.5,4,621,0
50.1,1.1,3,1,49.1,2,2,1.4,3,555,0
112.3,2.0,2,2,65.9,2,2,6.0,5,594,1
242.8,3.9,2,2,100.0,2,2,3.2,1,304,1
70.7,1.5,3,1,58.3,1,2,3.8,0,795,0
153.8,2.7,3,1,82.6,2,2,0.5,2,259,1
108.2,1.8,2,1,63.6,2,2,6.4,3,332,1
72.7,1.3,1,1,58.8,2,1,0.5,0,929,0
33.5,0.5,2,2,46.6,1,2,0.8,5,238,0
71.2,1.2,2,1,69.1,2,1,0.4,2,282,0
57.0,0.6,1,2,49.1,1,2,1.7,5,482,0
152.3,2.7,1,3,70.8,3,2,6.6,1,300,1
247.0,4.7,2,1,98.3,1,2,0.9,2,963,1
37.1,0.8,2,3,49.2,3,2,1.4,3,665,0
206.9,4.1,1,1,83.4,2,1,5.6,3,663,1
79.4,1.2,2,1,62.3,2,2,2.9,1,326,1
86.2,1.1,1,1,58.8,1,3,4.2,4,358,1
130.5,2.3,1,1,68.5,1,2,0.7,4,591,1
34.7,0.4,2,1,48.8,1,3,3.8,0,574,0
41.8,0.6,1,1,40.5,1,3,0.8,0,957,1
171.7,3.2,1,2,69.8,2,2,13.1,2,314,1
81.0,1.3,3,3,63.3,1,1,2.5,2,510,0
154.1,2.4,1,2,70.5,2,2,3.6,3,361,1
223.9,3.9,1,1,88.6,1,1,0.4,0,589,1
15.9,0.4,3,2,51.6,3,2,0.9,2,567,0
91.5,1.9,2,2,59.7,2,3,0.5,2,349,1
3.8,0.3,2,3,40.0,1,3,1.5,1,642,0
38.7,0.9,3,3,53.0,2,2,1.0,2,252,0
219.7,3.9,1,3,85.3,1,2,4.0,1,592,1
241.0,4.5,2,1,99.0,1,2,0.3,0,555,1
207.5,3.8,2,2,90.0,2,3,4.2,2,256,1
236.2,4.3,2,1,100.0,2,3,0.1,5,750,1
87.6,1.3,2,3,55.8,3,3,0.7,1,549,0
88.6,1.6,2,1,66.3,2,1,4.7,1,891,1
98.0,1.9,1,1,64.3,3,2,4.1,1,158,1
26.9,0.6,1,1,40.0,3,2,1.9,1,831,0
38.7,0.3,2,2,40.0,3,1,0.2,1,330,0
135.9,2.5,2,1,65.9,2,3,2.8,3,529,1
42.7,0.3,2,1,50.9,1,3,1.6,0,892,0
91.9,1.7,1,3,62.4,1,1,1.1,5,217,0
208.1,3.5,2,3,85.5,2,1,3.1,0,320,1
0.7,0.6,2,1,40.0,2,2,1.7,4,884,0
91.2,1.7,2,1,59.4,1,3,0.3,4,554,1
67.2,1.5,2,3,59.9,2,2,7.4,2,468,0
58.2,1.8,3,3,45.6,1,1,4.5,0,255,0
107.8,1.7,2,2,65.1,2,1,0.2,2,633,0
18.9,0.5,2,2,40.0,1,2,2.2,2,378,0
54.2,0.6,2,1,47.4,2,3,0.3,4,889,0
33.2,0.7,3,3,53.2,2,2,5.4,2,595,0
10.6,0.8,2,2,40.0,1,2,2.8,1,566,0
7.0,0.1,2,2,40.8,2,1,0.6,3,361,0
84.9,1.2,2,1,68.5,2,2,0.1,5,888,1
112.4,2.0,2,3,68.9,1,2,0.1,2,645,1
53.5,1.7,1,2,49.5,1,2,2.1,4,912,1
61.5,1.4,1,1,51.7,1,2,4.0,2,306,1
174.3,2.9,3,2,72.2,2,3,0.4,2,849,1
11.2,0.7,2,2,49.0,2,1,0.8,2,689,0
102.4,1.3,2,2,67.6,1,2,1.2,3,373,1
15.5,1.0,3,2,46.8,2,2,0.7,1,714,0
39.8,1.0,2,2,52.7,1,2,1.5,2,245,0
95.0,2.3,2,3,57.0,3,2,2.5,2,313,0
0.9,0.1,2,1,40.0,1,3,3.5,1,260,0
140.0,2.6,2,1,73.6,3,2,10.0,1,622,1
18.6,0.3,1,1,48.5,2,1,8.0,3,615,0
70.9,0.9,1,2,63.6,2,2,2.5,2,579,0
222.8,3.6,1,2,88.0,2,2,4.0,0,289,1
210.0,4.0,1,3,84.5,2,2,9.0,3,1000,1
25.1,0.7,2,2,44.3,1,2,0.3,4,893,0
2.7,0.5,1,2,43.9,2,1,0.1,2,190,0
95.2,1.6,1,3,59.5,2,2,0.1,1,273,1
99.9,1.8,1,1,61.7,2,2,2.5,4,545,1
223.3,3.6,1,3,93.3,2,2,4.3,4,554,1
214.0,4.4,2,1,84.0,3,2,1.4,1,635,1
115.8,2.1,3,2,72.4,2,1,2.4,0,645,0
114.0,2.3,2,2,68.2,1,2,2.2,1,258,1
18.3,0.6,1,2,40.0,2,3,0.3,2,872,0
168.2,3.6,1,1,74.4,2,2,1.2,0,565,1
86.3,1.3,1,1,48.9,3,2,0.1,2,376,1
34.6,0.9,2,2,46.6,3,2,0.4,1,346,0
104.2,1.9,1,3,60.4,2,3,5.0,4,634,1
16.2,1.0,2,1,47.7,1,3,5.3,1,548,0
27.5,0.2,1,3,41.6,2,2,4.9,2,515,0
200.3,4.1,2,1,86.0,2,1,3.9,5,962,1
10.4,0.3,1,2,45.1,3,3,4.7,1,396,0
179.0,3.4,1,2,80.7,1,2,3.3,1,812,1
0.9,0.1,2,2,45.9,1,2,3.3,3,712,0
184.9,3.8,1,3,91.0,1,3,3.3,1,595,1
66.8,1.3,1,2,55.3,2,2,2.2,3,908,1
143.0,2.1,2,2,73.5,3,1,1.4,0,534,1
143.7,3.0,2,1,67.2,1,3,3.9,0,211,1
217.5,4.3,2,1,82.8,2,2,1.1,4,787,1
49.6,1.1,1,1,56.1,2,2,2.3,2,652,0
184.8,3.0,1,2,85.2,2,2,1.7,3,596,1
74.8,1.0,1,1,51.3,1,2,1.0,1,923,0
186.9,2.7,1,1,74.6,3,1,11.0,0,657,1
111.9,2.2,3,1,61.4,1,2,0.9,3,595,1
97.2,1.3,2,1,60.7,2,2,1.1,1,684,0
183.9,2.7,1,1,78.4,1,3,0.5,2,559,1
31.8,1.0,2,3,47.8,2,2,5.2,0,279,0
125.4,2.5,1,2,72.2,3,3,2.6,1,855,1
64.0,1.0,3,2,56.4,1,3,2.8,3,342,0
123.9,2.2,1,2,69.9,1,2,5.2,3,656,1
5.9,0.1,1,1,40.0,2,1,1.3,2,877,0
233.2,4.6,2,3,83.2,2,3,0.6,2,230,1
194.2,3.3,2,1,78.7,2,2,0.7,2,362,1
70.3,1.4,2,1,52.3,1,1,4.0,2,256,0
4.2,0.1,1,2,45.1,1,1,2.9,3,580,0
56.4,1.4,1,1,48.0,2,3,0.7,1,846,1
84.0,1.3,1,2,61.8,1,1,0.5,1,614,1
35.0,0.2,1,1,43.8,3,1,0.4,4,262,0
201.4,3.5,3,2,78.3,1,2,3.0,0,635,1
16.9,0.1,1,2,40.0,2,3,0.1,0,572,0
184.4,3.7,1,1,91.9,1,2,0.1,2,327,1
123.2,2.1,2,2,63.1,1,1,1.5,3,554,1
68.3,1.7,1,1,58.5,2,1,3.5,2,361,0
70.4,1.4,2,2,47.7,2,2,3.6,1,875,0
81.7,1.8,2,1,65.1,1,1,1.7,5,305,1
23.3,0.4,1,2,46.9,1,2,3.5,3,241,0
61.7,1.6,3,2,54.9,1,1,2.2,3,899,0
107.4,1.5,2,1,65.7,2,3,11.3,0,542,0
8.7,0.2,1,3,44.5,2,2,0.5,1,298,0
106.2,1.8,1,3,67.4,1,1,2.8,1,852,0
210.3,4.3,1,2,83.3,2,3,2.0,0,592,1
218.9,4.5,2,2,84.9,2,2,0.6,0,323,1
246.0,4.5,2,1,94.4,3,2,4.2,1,531,1
76.8,0.9,2,2,60.3,3,3,1.0,2,898,0
56.2,1.2,3,1,52.0,1,2,1.4,2,620,0
232.7,3.6,2,1,95.1,1,2,1.4,3,320,1
42.4,1.3,2,3,52.4,1,2,0.8,0,696,0
38.1,0.5,1,2,47.3,2,1,1.7,1,563,0
72.6,1.3,2,1,47.2,3,1,1.9,0,900,0
38.0,0.5,1,1,45.8,2,3,4.1,1,387,0
115.5,1.8,2,2,74.1,1,2,4.3,1,531,1
145.9,2.9,1,1,73.8,2,2,0.5,2,185,1
21.1,0.3,1,1,41.4,1,2,2.7,4,627,0
78.7,1.4,1,1,58.6,1,3,6.8,3,952,0
248.4,4.2,1,2,98.0,2,3,0.3,2,194,1
237.1,4.6,2,2,89.0,1,2,1.9,4,284,1
70.9,1.6,1,1,61.8,1,3,4.2,2,549,1
215.3,3.8,2,2,89.8,2,3,2.8,3,615,1
211.8,4.3,1,1,81.1,1,2,0.3,2,298,1
92.5,1.6,2,2,64.6,1,1,1.5,2,665,1
56.2,1.3,1,3,50.3,1,1,2.1,3,833,0
40.3,0.2,1,2,48.0,3,3,15.0,0,619,0
113.8,2.2,2,3,60.0,2,3,0.6,2,631,1
227.8,4.0,1,3,93.3,1,2,12.1,4,303,1
159.1,2.9,1,2,74.3,2,1,1.4,3,800,1
95.7,1.8,1,2,64.4,1,2,0.7,0,321,0
150.0,2.8,1,3,70.2,2,3,1.6,1,263,1
