YEAR,MO,DY,PRECTOTCORR,T2M,WS10M
2022,4,12,0.01,32.12,4.6
2022,4,13,0.1,31.91,5.1
2022,4,14,0.01,32.99,5.06
2022,4,15,0.01,33.82,4.54
2022,4,16,0.08,33.87,5.36
2022,4,17,0.08,33.44,5.63
2022,4,18,0.01,33.4,3.88
2022,4,19,0.04,32.63,5.03
2022,4,20,0.04,32.74,5.69
2022,4,21,0.08,31.89,6.43
2022,4,22,0.16,33.48,3.77
2022,4,23,0.02,34.21,3.29
2022,4,24,0.04,35.11,3.52
2022,4,25,0.3,34.3,3.84
2022,4,26,0.04,33.77,4.24
2022,4,27,0.02,33.86,4.6
2022,4,28,0.03,34.55,4.16
2022,4,29,0.02,34.77,3.91
2022,4,30,0.02,33.84,5.97
2022,5,1,0.22,32.9,6.47
2022,5,2,0.44,33.69,4.76
2022,5,3,5.61,32.58,6.15
2022,5,4,13.58,31.67,4.78
2022,5,5,8.74,31.86,3.02
2022,5,6,11.39,31.58,2.27
2022,5,7,0.07,32.52,2.58
2022,5,8,0.01,32.13,3.43
2022,5,9,1.11,30.55,4.72
2022,5,10,13.19,29.07,4.45
2022,5,11,3.87,29.91,4.62
2022,5,12,1.61,31.12,5.58
2022,5,13,0.18,31.97,6.41
2022,5,14,0.04,32.47,6.55
2022,5,15,0.06,31.48,6.45
2022,5,16,0.27,32.22,5.51
2022,5,17,0.02,31.86,5.55
2022,5,18,0.06,31.28,4.47
2022,5,19,0.08,32.52,5.52
2022,5,20,0.07,33.15,5.49
2022,5,21,4.86,33.79,5.99
2022,5,22,17.83,31.96,3.67
2022,5,23,4.16,33.28,2.71
2022,5,24,7.74,31.84,2.44
2022,5,25,0.97,32.99,2.26
2022,5,26,0.2,33.41,2.93
2022,5,27,0.43,34.25,4.08
2022,5,28,0.87,34.9,3.3
2022,5,29,0.64,35.41,2.98
2022,5,30,4.34,33.03,2.54
2022,5,31,0.42,33.36,2.66
2022,6,1,1.84,31.59,4.28
2022,6,2,0.83,32.22,4.01
2022,6,3,1.67,31.35,4.25
2022,6,4,1.78,31.34,4.98
2022,6,5,1.43,31.18,4.77
2022,6,6,0.57,31.3,4.5
2022,6,7,0.04,32.36,4.75
2022,6,8,0.75,32.09,4.53
2022,6,9,0.49,32.03,6.45
2022,6,10,0.44,31.99,4.14
2022,6,11,0.43,32.63,5.27
2022,6,12,0.3,32.96,4.05
2022,6,13,0.13,31.85,3.32
2022,6,14,2.66,31.85,4.02
2022,6,15,5.97,30.75,3.24
2022,6,16,2.67,30.17,4.42
2022,6,17,2.7,29.94,5.29
2022,6,18,15.14,29.54,4.48
2022,6,19,7.45,29.25,3.78
2022,6,20,11.36,28.11,3.6
2022,6,21,4.8,29.16,3.57
2022,6,22,3.02,29.26,2.45
2022,6,23,8.66,29.13,3.05
2022,6,24,6.43,28.25,3.36
2022,6,25,10.93,28.42,3.34
2022,6,26,0.79,29.77,3.73
2022,6,27,1.16,30.2,3.44
2022,6,28,2.77,30.29,2.88
2022,6,29,4.67,30.37,3.51
2022,6,30,2.9,29.85,3.16
2022,7,1,10.42,29.1,2.56
2022,7,2,12.04,28.69,1.76
2022,7,3,30.23,28.09,2.08
2022,7,4,11.55,27.88,2.21
2022,7,5,26.93,27.38,1.49
2022,7,6,7.18,28.42,3.15
2022,7,7,6.66,27.71,2.89
2022,7,8,12.82,28.03,3.05
2022,7,9,9.5,27.19,4.29
2022,7,10,7.32,27.72,4.63
2022,7,11,11.85,27.93,2.58
2022,7,12,12.12,28.87,2.63
2022,7,13,19.06,27.84,4.4
2022,7,14,15.01,27.85,3.17
2022,7,15,14.77,28.44,2.72
2022,7,16,24.5,28.62,1.9
2022,7,17,38.27,28.13,4.56
2022,7,18,11.06,28.24,5.07
2022,7,19,9.34,28.6,3.27
2022,7,20,14.18,28.54,3.09
2022,7,21,2.1,28.09,3.33
2022,7,22,9.35,28.38,3.91
2022,7,23,10.96,28.23,3.72
2022,7,24,14.66,27.73,3.29
2022,7,25,8.37,27.24,3.64
2022,7,26,5.0,27.52,3.24
2022,7,27,0.52,27.74,2.6
2022,7,28,1.86,28.12,2.03
2022,7,29,4.28,28.62,2.24
2022,7,30,2.95,28.79,2.46
2022,7,31,2.91,28.86,2.8
2022,8,1,7.28,28.5,1.97
2022,8,2,7.57,29.07,1.81
2022,8,3,3.54,28.21,2.54
2022,8,4,2.7,27.64,2.43
2022,8,5,7.86,28.23,1.62
2022,8,6,28.22,28.04,1.92
2022,8,7,22.23,27.76,3.15
2022,8,8,22.17,27.26,2.32
2022,8,9,22.46,28.03,3.56
2022,8,10,29.24,27.51,4.8
2022,8,11,14.09,27.95,3.8
2022,8,12,17.25,27.46,3.09
2022,8,13,40.35,27.46,3.5
2022,8,14,50.89,27.03,4.67
2022,8,15,5.15,27.22,6.88
2022,8,16,0.52,28.09,2.58
2022,8,17,1.94,27.83,2.55
2022,8,18,16.98,27.61,3.68
2022,8,19,38.31,26.74,5.99
2022,8,20,5.67,26.73,5.85
2022,8,21,5.06,27.89,3.2
2022,8,22,2.37,27.9,2.49
2022,8,23,8.05,26.95,2.12
2022,8,24,9.6,26.7,2.46
2022,8,25,0.22,27.73,2.17
2022,8,26,0.02,28.03,2.22
2022,8,27,6.15,27.55,2.24
2022,8,28,4.0,27.49,2.26
2022,8,29,0.8,27.48,2.11
2022,8,30,0.3,27.67,1.52
2022,8,31,0.64,27.43,1.75
2022,9,1,0.24,27.53,2.38
2022,9,2,0.04,27.52,2.11
2022,9,3,3.54,27.82,2.44
2022,9,4,4.51,28.07,2.31
2022,9,5,0.4,28.01,2.11
2022,9,6,0.56,28.26,1.6
2022,9,7,6.94,27.74,1.85
2022,9,8,21.39,27.22,3.68
2022,9,9,10.33,27.76,4.89
2022,9,10,13.57,26.9,4.33
2022,9,11,36.76,27.16,4.97
2022,9,12,10.87,27.21,6.41
2022,9,13,8.63,27.39,5.82
2022,9,14,4.33,26.95,4.13
2022,9,15,0.76,27.47,2.45
2022,9,16,0.52,26.88,2.9
2022,9,17,2.94,27.15,2.18
2022,9,18,17.25,27.1,2.03
2022,9,19,13.58,27.23,3.23
2022,9,20,12.34,27.19,1.79
2022,9,21,7.61,26.83,3.71
2022,9,22,3.93,27.29,2.13
2022,9,23,5.29,27.38,2.59
2022,9,24,6.37,27.5,2.1
2022,9,25,4.63,26.62,1.51
2022,9,26,3.93,27.23,1.39
2022,9,27,1.75,27.26,1.56
2022,9,28,0.71,27.46,1.47
2022,9,29,4.36,27.28,2.31
2022,9,30,1.52,27.06,2.45
2022,10,1,2.87,27.2,1.87
2022,10,2,5.18,27.51,1.61
2022,10,3,12.45,27.05,1.75
2022,10,4,48.85,27.27,3.81
2022,10,5,12.11,27.29,4.36
2022,10,6,21.34,26.49,3.32
2022,10,7,7.51,26.26,2.71
2022,10,8,3.1,26.44,2.5
2022,10,9,4.81,26.03,2.55
2022,10,10,6.71,26.27,1.87
2022,10,11,0.58,26.27,2.05
2022,10,12,14.09,26.48,1.74
2022,10,13,5.4,26.12,1.08
2022,10,14,6.94,26.21,2.05
2022,10,15,1.1,26.56,1.9
2022,10,16,1.02,26.91,1.6
2022,10,17,1.13,26.67,1.7
2022,10,18,0.18,26.44,1.49
2022,10,19,0.05,25.9,1.6
2022,10,20,0.04,25.18,2.65
2022,10,21,0.0,23.67,3.15
2022,10,22,0.0,23.83,3.34
2022,10,23,0.08,24.16,4.15
2022,10,24,0.42,24.04,5.02
2022,10,25,0.0,25.03,2.47
2022,10,26,0.0,24.56,1.44
2022,10,27,0.0,23.3,2.01
2022,10,28,0.0,23.35,1.65
2022,10,29,0.0,22.75,2.14
2022,10,30,0.0,21.5,2.43
2022,10,31,0.0,23.47,1.69
2022,11,1,0.0,24.52,1.51
2022,11,2,0.0,25.18,1.59
2022,11,3,0.0,24.81,1.35
2022,11,4,0.0,22.68,2.11
2022,11,5,0.0,22.67,1.6
2022,11,6,0.0,23.05,1.21
2022,11,7,0.0,23.18,1.01
2022,11,8,0.0,23.19,0.99
2022,11,9,0.0,23.11,1.27
2022,11,10,0.0,22.64,1.8
2022,11,11,0.0,22.25,2.2
2022,11,12,0.0,21.95,2.33
2022,11,13,0.0,21.3,2.04
2022,11,14,0.0,19.95,2.41
2022,11,15,0.0,19.4,2.62
2022,11,16,0.0,19.94,2.3
2022,11,17,0.0,20.44,2.64
2022,11,18,0.0,19.95,3.08
2022,11,19,0.0,18.89,3.09
2022,11,20,0.0,19.78,2.06
2022,11,21,0.0,21.55,2.14
2022,11,22,0.0,21.99,1.86
2022,11,23,0.0,20.83,2.01
2022,11,24,0.0,20.0,2.13
2022,11,25,0.0,19.41,2.28
2022,11,26,0.0,18.56,2.15
2022,11,27,0.0,18.09,2.24
2022,11,28,0.0,18.71,2.24
2022,11,29,0.0,20.6,2.3
2022,11,30,0.0,21.68,2.25
2022,12,1,0.0,22.37,1.34
2022,12,2,0.0,21.93,1.28
2022,12,3,0.0,21.01,1.51
2022,12,4,0.0,20.71,1.7
2022,12,5,0.0,20.11,1.73
2022,12,6,0.0,19.19,2.12
2022,12,7,0.0,18.01,2.02
2022,12,8,0.0,17.24,2.97
2022,12,9,0.25,17.47,2.68
2022,12,10,0.47,19.66,2.3
2022,12,11,0.05,20.7,1.6
2022,12,12,0.0,20.83,1.42
2022,12,13,0.0,21.46,1.63
2022,12,14,0.0,21.26,2.56
2022,12,15,0.0,22.07,1.28
2022,12,16,0.0,21.28,1.39
2022,12,17,0.0,19.78,1.4
2022,12,18,0.0,18.27,2.06
2022,12,19,0.0,18.18,1.71
2022,12,20,0.0,18.68,1.32
2022,12,21,0.0,19.49,1.09
2022,12,22,0.0,19.24,1.04
2022,12,23,0.0,19.45,2.1
2022,12,24,0.0,19.56,1.49
2022,12,25,0.0,20.41,1.83
2022,12,26,0.0,21.26,1.67
2022,12,27,0.0,22.73,1.84
2022,12,28,0.0,21.86,1.83
2022,12,29,0.0,20.85,1.42
2022,12,30,0.0,19.98,1.45
2022,12,31,0.0,19.61,1.61
2023,1,1,0.0,20.72,1.43
2023,1,2,0.0,20.33,2.14
2023,1,3,0.0,19.26,2.31
